Date,Berri,Maisonneuve,Notre-Dame,Parc,Pont-Jacques-Cartier,René-Lévesque,Saint-Antoine,Saint-Urbain,Totem-Laurier,Moyenne
01/01/16,32,16,1,5,13,12,6,38,68,22
02/01/16,68,25,2,16,9,16,11,67,106,36
03/01/16,78,38,0,6,6,25,10,21,59,27
04/01/16,118,80,0,46,3,49,9,4,99,46
05/01/16,183,86,2,110,3,77,12,11,106,66
06/01/16,305,116,11,126,3,120,53,29,189,106
07/01/16,425,142,13,164,3,155,60,34,54,117
08/01/16,393,138,10,131,18,157,61,75,91,120
09/01/16,139,73,0,42,3,38,22,78,114,57
10/01/16,136,46,12,55,6,42,13,80,196,66
11/01/16,393,168,12,222,17,133,56,193,312,168
12/01/16,398,152,18,206,20,139,46,125,253,151
13/01/16,324,126,1,227,9,112,31,6,118,106
14/01/16,347,134,16,142,9,106,29,1,124,101
15/01/16,367,120,18,115,20,123,41,3,66,97
16/01/16,113,42,6,29,14,32,12,2,88,38
17/01/16,111,31,3,28,8,35,6,4,63,33
18/01/16,340,111,11,99,12,105,22,1,235,104
19/01/16,271,121,19,112,8,83,10,0,138,85
20/01/16,376,139,31,139,7,110,63,119,222,134
21/01/16,450,155,42,163,14,133,66,112,293,159
22/01/16,400,155,26,185,23,147,75,117,299,159
23/01/16,146,48,11,55,11,40,13,62,160,61
24/01/16,116,41,6,57,3,43,7,67,155,55
25/01/16,441,168,35,287,11,157,61,183,394,193
26/01/16,417,174,42,257,15,153,44,166,303,175
27/01/16,460,185,41,272,27,192,76,221,393,208
28/01/16,419,181,35,263,27,170,80,269,388,204
29/01/16,421,158,35,264,25,153,62,195,368,187
30/01/16,136,56,15,76,11,52,6,106,160,69
31/01/16,180,95,24,122,24,81,21,166,203,102
01/02/16,559,225,39,384,20,200,72,270,416,243
02/02/16,607,240,73,442,18,199,103,337,450,275
03/02/16,267,112,23,166,22,94,37,61,81,96
04/02/16,613,246,69,467,27,201,81,306,384,266
05/02/16,517,222,59,406,33,172,79,302,424,246
06/02/16,157,53,9,67,27,55,10,74,93,61
07/02/16,145,56,6,66,29,44,10,85,46,55
08/02/16,413,183,41,288,20,142,55,198,156,167
09/02/16,422,148,41,276,17,139,56,156,211,163
10/02/16,409,178,42,280,24,158,56,56,105,146
11/02/16,396,132,41,172,19,137,44,26,47,113
12/02/16,298,114,32,137,22,112,44,21,76,96
13/02/16,63,39,5,27,2,9,1,1,17,19
14/02/16,103,18,11,28,2,18,3,0,10,22
15/02/16,286,117,35,148,7,102,29,0,117,94
16/02/16,129,85,5,12,3,39,20,0,44,38
17/02/16,264,143,0,182,20,30,27,0,82,84
18/02/16,362,131,21,198,3,107,56,0,123,112
19/02/16,396,126,20,200,19,124,41,34,190,128
20/02/16,89,48,2,18,3,16,9,53,29,30
21/02/16,112,57,8,50,8,49,14,94,87,54
22/02/16,382,153,24,219,18,135,65,181,159,149
23/02/16,415,173,29,239,21,145,50,231,207,168
24/02/16,255,105,8,70,7,78,12,26,58,69
25/02/16,207,101,8,76,11,47,264,34,74,92
26/02/16,212,92,8,50,18,65,13,5,26,55
27/02/16,117,44,5,11,3,3,6,15,41,28
28/02/16,94,45,2,3,13,7937,5,5,23,903
29/02/16,143,79,7,27,10,69,34,2,27,45
01/03/16,247,90,14,52,9,92,43,1,55,67
02/03/16,171,71,14,3,7,3,28,1,24,36
03/03/16,218,88,15,6,11,55,29,81,41,61
04/03/16,288,84,20,4,9,151,36,129,116,93
05/03/16,142,81,8,5,21,42,17,85,78,54
06/03/16,165,66,12,5,18,52,14,99,102,60
07/03/16,306,112,23,44,8,100,44,88,154,98
08/03/16,455,181,25,53,26,165,66,267,276,169
09/03/16,549,250,31,332,57,228,83,321,360,246
10/03/16,579,269,50,417,199,238,102,345,381,287
11/03/16,674,291,62,515,102,229,79,380,466,311
12/03/16,484,277,55,392,198,174,77,372,457,277
13/03/16,534,298,95,382,250,243,39,322,450,291
14/03/16,665,285,96,569,56,256,94,360,449,315
15/03/16,778,246,145,603,76,311,1,392,503,340
16/03/16,969,421,164,797,103,136,0,510,607,412
17/03/16,1008,377,200,815,72,260,95,496,568,433
18/03/16,596,322,100,475,187,0,58,351,421,279
19/03/16,401,172,83,291,233,15,29,283,400,212
20/03/16,396,187,105,329,359,5,21,268,366,227
21/03/16,946,408,265,738,475,42,117,490,613,455
22/03/16,1048,427,261,815,451,194,116,539,621,497
23/03/16,757,292,182,601,281,0,111,429,602,362
24/03/16,389,144,72,280,100,0,41,199,211,160
25/03/16,142,63,11,24,56,0,13,53,12,42
26/03/16,297,155,43,152,258,65,26,184,249,159
27/03/16,665,345,230,389,912,307,43,267,367,392
28/03/16,157,107,68,160,122,83,30,112,197,116
29/03/16,1237,471,324,881,505,464,123,540,754,589
30/03/16,1495,652,422,1170,885,571,179,667,931,775
31/03/16,536,217,148,459,229,237,85,285,407,290
01/04/16,1106,479,306,849,581,519,139,589,751,591
02/04/16,607,342,215,439,566,274,65,472,634,402
03/04/16,345,180,130,252,243,157,31,211,439,221
04/04/16,1095,430,305,820,445,443,124,436,703,534
05/04/16,1214,427,372,1026,529,519,160,573,1047,652
06/04/16,1008,413,377,774,438,505,119,485,811,548
07/04/16,262,110,49,180,86,95,43,117,276,136
08/04/16,552,233,143,443,278,226,65,293,546,309
09/04/16,483,232,112,366,361,161,33,319,508,287
10/04/16,549,306,243,411,528,235,26,330,629,362
11/04/16,551,196,153,419,200,206,66,213,491,278
12/04/16,1634,549,485,1136,705,654,171,674,1202,802
13/04/16,2108,777,750,1571,1136,930,283,926,1560,1116
14/04/16,2340,966,951,1623,1326,1141,286,1070,1777,1276
15/04/16,3116,1097,1041,2042,1455,1259,326,1318,2117,1531
16/04/16,2439,882,879,1354,1617,1055,168,955,2132,1276
17/04/16,3442,1358,1351,1795,2396,1546,210,1154,2629,1765
18/04/16,1907,755,672,1330,763,867,188,1088,1508,1009
19/04/16,3754,1397,1466,2288,1786,1713,371,1747,2440,1885
20/04/16,3980,1392,1392,2719,1803,1728,490,2013,2732,2028
21/04/16,4621,1417,1707,2789,2433,2145,563,2043,3116,2315
22/04/16,1798,638,563,1240,605,718,226,825,1582,911
23/04/16,2652,931,867,1263,1567,1006,180,1048,2383,1322
24/04/16,2147,853,766,1142,1567,925,166,882,1923,1153
25/04/16,3254,1266,1199,2277,1509,1455,458,1738,2395,1728
26/04/16,3207,1112,1161,2175,1359,1372,446,1824,2381,1671
27/04/16,3131,1085,1077,2094,1242,1393,453,1616,2446,1616
28/04/16,3200,1112,1095,2186,1281,1420,425,1477,2546,1638
29/04/16,3365,1170,1176,2314,1569,1493,418,1475,2675,1740
30/04/16,2892,1087,1118,1450,2072,1312,256,1168,2511,1541
01/05/16,900,326,303,568,540,349,89,466,1133,520
02/05/16,2361,851,768,1646,874,1064,312,1007,1822,1190
03/05/16,4678,1638,1929,3054,2562,2436,595,2027,3208,2459
04/05/16,4075,1417,1447,2607,1797,1973,527,1734,2826,2045
05/05/16,4921,1755,1976,3237,2230,2544,556,2202,3424,2539
06/05/16,5228,1892,2147,3192,2547,2780,609,2133,3897,2714
07/05/16,4027,1596,1652,1829,2856,2132,342,1465,3491,2155
08/05/16,853,337,235,511,421,368,73,498,1100,489
09/05/16,3630,1312,1327,2358,1435,1723,501,1564,2532,1821
10/05/16,5321,1994,2366,3422,2757,2920,688,2205,3597,2808
11/05/16,5719,2227,2567,3676,2942,3191,764,2209,3934,3026
12/05/16,7281,2239,2824,3871,3038,3556,802,2449,4278,3371
13/05/16,3211,1178,1174,2052,1000,1663,463,1455,2595,1644
14/05/16,2806,1210,1302,1516,2118,1531,266,1127,2609,1610
15/05/16,1214,480,365,739,529,477,108,642,1550,679
16/05/16,2476,941,841,1759,750,1182,408,1138,1986,1276
17/05/16,4225,1581,1702,2766,1772,2217,621,1805,3008,2189
18/05/16,5560,2001,2341,3355,2498,3018,783,2186,3514,2807
19/05/16,5048,1759,2151,3116,2424,2663,706,2151,3646,2630
20/05/16,6133,2001,2579,3485,2840,3122,674,2296,4115,3028
21/05/16,4309,1232,1693,1836,2674,2066,350,1304,3355,2091
22/05/16,4318,1416,1687,2014,3217,2057,371,1276,3043,2156
23/05/16,4160,1655,2041,1891,3723,2347,357,1302,3076,2284
24/05/16,6499,2354,2879,3916,3175,3487,815,2392,4304,3314
25/05/16,5423,2055,2329,3502,2517,2946,783,2003,3928,2832
26/05/16,6445,2223,2830,4077,3215,3573,883,2467,4223,3327
27/05/16,5036,1863,2075,2994,2008,2623,605,1826,3459,2499
28/05/16,4733,1596,1994,2249,2766,2483,368,1645,3823,2407
29/05/16,3367,1258,1200,1862,1788,1514,294,1193,2902,1709
30/05/16,5483,2048,2087,3278,2036,2686,669,1900,3796,2665
31/05/16,6561,2538,3048,4152,3272,3643,874,2865,4506,3496
01/06/16,7168,2576,3053,4314,3401,3757,952,3458,4703,3710
02/06/16,3631,1367,1511,2405,1505,1850,515,1985,2867,1960
03/06/16,6957,2475,3117,5290,3261,3748,862,2551,5454,3747
04/06/16,5285,1743,2004,2428,3032,2434,421,1724,4114,2577
05/06/16,2408,437,1783,2053,1006,1780,116,1182,1656,1381
06/06/16,3898,1618,1413,2735,1805,1918,553,1643,3017,2067
07/06/16,4699,1732,1915,3153,2207,2432,645,1886,3619,2477
08/06/16,4834,1861,1910,3102,2240,2362,682,2047,3441,2498
09/06/16,3289,1147,1169,2383,1270,1479,492,1599,2833,1741
10/06/16,5641,2032,2123,3474,2669,2759,733,2394,4084,2879
11/06/16,3437,951,954,1553,1689,1243,274,1465,2777,1594
12/06/16,1935,609,560,1030,1148,728,151,934,1917,1002
13/06/16,4809,1920,2229,3476,2305,2670,726,2177,3870,2687
14/06/16,6643,2532,3005,4327,3544,3419,865,2579,4592,3501
15/06/16,7002,2584,3151,4345,3872,3520,1019,2619,4724,3649
16/06/16,7544,2373,2995,4447,3492,3543,944,2671,4960,3664
17/06/16,6888,2257,2758,4014,3297,3138,857,2529,4779,3391
18/06/16,5114,1794,2174,2148,2986,2326,456,1755,3988,2527
19/06/16,3917,1435,1707,2002,2730,1801,358,1324,3416,2077
20/06/16,5654,2225,2546,3665,2960,2896,801,1904,4328,2998
21/06/16,6362,2346,2877,4058,3509,3305,985,2255,4621,3369
22/06/16,4085,1482,1817,2663,2465,2221,683,1593,3467,2276
23/06/16,6027,2163,2597,3612,3031,3040,916,2269,4282,3105
24/06/16,4512,1607,1868,1753,2717,2311,395,1381,3285,2204
25/06/16,3961,1167,1590,1565,2483,1863,339,1169,3038,1909
26/06/16,3493,1266,1713,1843,2679,1931,340,1189,3281,1971
27/06/16,2826,1244,1231,1918,1586,1512,455,1202,2655,1626
28/06/16,3570,1415,1307,2378,1521,1697,486,1412,2985,1864
29/06/16,3966,1520,471,2405,1628,1787,593,1591,3098,1896
30/06/16,6417,2252,1942,3742,3293,3225,827,2361,4588,3183
01/07/16,3741,1195,1536,1504,2205,1842,326,1256,2652,1807
02/07/16,3222,928,955,1406,1535,1464,259,1255,2323,1483
03/07/16,4746,1381,1947,2110,3421,2282,423,1579,3379,2364
04/07/16,6219,2271,2848,3816,3395,3338,786,2317,4441,3271
05/07/16,7189,2594,3055,4038,3692,3662,938,2531,4733,3604
06/07/16,6852,2366,2817,3838,3627,3577,957,2387,4471,3433
07/07/16,5520,1912,1959,3326,2112,2437,708,2094,3964,2671
08/07/16,5828,1870,2416,3303,2698,2876,783,2111,4069,2884
09/07/16,1392,441,428,700,639,630,147,578,1340,700
10/07/16,1812,657,525,962,1020,655,196,847,1925,956
11/07/16,6361,2397,3001,3776,3732,3584,906,2223,3983,3330
12/07/16,6782,2465,2976,3938,3739,3508,898,1722,4761,3421
13/07/16,6152,2128,2641,3505,3179,3100,809,1332,4662,3057
14/07/16,5155,1666,1963,3015,2044,2428,710,1450,3568,2445
15/07/16,5323,1834,2023,2965,2392,2515,731,1798,3770,2595
16/07/16,4446,1448,1854,1819,3443,2550,447,1514,2929,2273
17/07/16,4476,1492,1907,1910,3685,2289,429,1351,3051,2288
18/07/16,4512,1855,2003,3096,2194,2502,700,1764,3510,2460
19/07/16,6457,2422,2822,3922,3451,3522,897,2272,4264,3337
20/07/16,6559,2479,2950,3672,3773,3899,805,2040,4650,3426
21/07/16,6265,2243,2752,3669,3183,3368,911,2147,4463,3223
22/07/16,4770,1720,1955,2755,2073,2485,658,1598,3835,2428
23/07/16,2562,896,941,1111,1467,1223,249,1014,2006,1275
24/07/16,4409,1573,1909,2038,3391,2197,399,1359,3206,2276
25/07/16,3191,1263,1424,2201,1477,1769,522,1318,2632,1756
26/07/16,6042,2159,2647,3598,3288,3213,827,2014,4199,3110
27/07/16,6053,2199,2852,3334,3635,3596,876,2078,4315,3216
28/07/16,5860,2033,2353,3411,2609,2839,817,2071,3919,2880
29/07/16,5550,1890,2343,3189,4645,3071,768,1885,4171,3057
30/07/16,4861,1446,1985,1940,6548,2855,531,1469,3314,2773
31/07/16,4366,1622,1800,2046,6381,2179,410,1279,3527,2624
01/08/16,4872,1877,2241,3089,3069,2806,762,1773,3756,2694
02/08/16,6126,2253,2783,3725,3544,3419,873,1657,4401,3198
03/08/16,5272,2253,2707,3615,3325,3220,892,1763,4343,3044
04/08/16,5201,1947,2523,3296,2940,2983,729,1411,4109,2794
05/08/16,4710,1724,2084,2947,2833,2497,725,1245,3948,2524
06/08/16,3761,1249,1540,1686,3268,2039,399,999,3059,2000
07/08/16,3614,1361,1453,1694,3216,1877,399,952,2726,1922
08/08/16,5397,2086,2496,3369,3027,2992,734,2002,4024,2903
09/08/16,6199,2255,2823,3799,3645,3404,780,2815,4425,3350
10/08/16,6162,2027,2523,3412,3376,3000,545,2254,4339,3071
11/08/16,6480,2025,2352,3320,3053,2947,717,2181,4085,3018
12/08/16,3288,1155,1097,1834,1350,1403,384,1255,2588,1595
13/08/16,1275,393,442,560,704,612,99,547,1346,665
14/08/16,2938,907,943,1268,1699,1168,220,888,2131,1352
15/08/16,5667,2290,2695,3436,3572,3366,631,2098,4086,3094
16/08/16,3166,1213,1404,2080,1704,1667,337,1427,2334,1704
17/08/16,5346,2018,2422,3343,3248,2970,608,741,4234,2770
18/08/16,5893,2222,2706,3503,3425,3292,727,1538,4097,3045
19/08/16,5530,2081,2394,3100,3101,2907,696,1776,4258,2872
20/08/16,3856,1526,1646,1736,2659,1997,435,1134,3057,2006
21/08/16,1351,626,458,724,758,592,138,520,1470,738
22/08/16,5135,1968,2216,3221,2662,2736,610,1823,3805,2687
23/08/16,6092,2409,2731,3805,3219,3294,726,2339,4378,3222
24/08/16,5966,2402,2648,3680,3230,3177,681,2091,4479,3151
25/08/16,4504,1732,1905,2798,1956,2182,501,1626,3728,2326
26/08/16,5120,2111,2342,3312,2677,2879,579,1905,4381,2812
27/08/16,4443,1615,1779,1888,2579,2114,393,1324,3594,2193
28/08/16,2705,1048,938,1609,1610,1294,287,992,2756,1471
29/08/16,5668,2288,2588,3790,2739,3254,696,2684,4355,3118
30/08/16,5877,2466,2440,3997,2883,3089,677,2941,4383,3195
31/08/16,4944,1784,1992,3333,1972,2583,707,2367,4201,2654
01/09/16,1299,2395,2571,3992,2834,3288,925,2398,4804,2723
02/09/16,961,2199,2269,3830,2432,2842,795,2230,4378,2438
03/09/16,4190,1271,1491,1755,2496,2083,390,1266,2953,1989
04/09/16,4014,1228,1546,1940,2944,1953,377,1245,2665,1991
05/09/16,3977,1436,1697,1699,3140,2269,380,1150,2973,2081
06/09/16,7027,2805,2736,4646,2841,3425,868,2324,4919,3511
07/09/16,7161,2859,2891,4802,2922,3810,915,2388,5077,3648
08/09/16,4368,1518,1359,2910,1410,1951,493,1617,2898,2059
09/09/16,6646,2460,2531,4309,3146,3550,829,2273,4767,3391
10/09/16,3742,1344,1263,1734,2156,1716,342,1193,3239,1859
11/09/16,2474,1007,816,1793,1868,1156,203,1028,2737,1454
12/09/16,6146,2647,2562,4526,2671,3449,770,2338,4348,3273
13/09/16,7121,2764,2847,4896,3130,3904,825,2604,4794,3654
14/09/16,5365,1918,1988,4052,1686,2853,661,1947,4015,2721
15/09/16,6261,2416,2518,4514,2462,3507,678,2457,4549,3263
16/09/16,5777,2327,2257,4015,2429,3258,669,2315,4354,3045
17/09/16,2590,1017,878,1498,1527,1266,212,1018,2561,1397
18/09/16,3028,1269,1131,1639,1886,1548,234,983,2791,1613
19/09/16,5960,2425,2556,4481,2632,3423,773,1817,4304,3153
20/09/16,6562,2711,2530,4712,2690,3604,872,1737,4702,3347
21/09/16,6676,2593,2539,4738,2633,3741,826,1866,4569,3354
22/09/16,5530,2144,1969,3960,2009,2954,644,1819,4014,2783
23/09/16,3923,1543,1351,2833,1531,2078,390,1760,3308,2080
24/09/16,3205,1133,1058,1807,1371,1502,250,1392,3128,1650
25/09/16,2740,1171,962,1626,2690,1414,203,1033,2891,1637
26/09/16,5405,2157,2043,4007,2134,2928,632,2151,3728,2799
27/09/16,5945,2307,2088,4279,2305,2968,701,2343,4099,3004
28/09/16,6022,2218,2166,4167,2317,3048,644,2276,4254,3013
29/09/16,5917,2186,2056,4163,2274,3092,696,2504,4069,2996
30/09/16,5264,1940,1699,3706,2096,2541,568,2163,3906,2654
01/10/16,2817,1028,775,1524,1510,1180,206,1258,2643,1438
02/10/16,1705,611,437,1076,779,642,117,884,1876,903
03/10/16,5161,1948,1789,3805,2093,2513,617,2155,3743,2648
04/10/16,5956,2164,2084,4177,2383,2856,666,2262,4045,2955
05/10/16,6173,2213,2147,4262,2407,2952,646,2266,4265,3037
06/10/16,6155,2262,2125,4131,2457,2985,710,2385,4368,3065
07/10/16,5445,2028,1948,3587,2334,2651,658,2051,4113,2758
08/10/16,755,278,221,458,334,303,49,422,1059,431
09/10/16,1837,620,543,1071,1238,730,131,865,1648,965
10/10/16,1741,647,582,1053,1192,734,160,741,1769,958
11/10/16,5122,1955,1786,3655,1990,2493,595,2041,3562,2578
12/10/16,5645,2063,1987,3963,2324,2684,648,2251,3864,2826
13/10/16,3496,1226,1088,2653,1264,1576,403,1532,2768,1779
14/10/16,4232,1519,1358,3212,1536,1893,467,1772,3402,2155
15/10/16,2387,877,698,1489,1537,938,186,1151,2370,1293
16/10/16,865,284,229,666,386,304,53,407,1090,476
17/10/16,4500,1833,1549,3513,1867,2207,589,1897,3395,2373
18/10/16,3546,1309,1012,2661,1244,1480,366,1300,2721,1738
19/10/16,5428,1926,1812,3681,2167,2463,628,2086,3786,2665
20/10/16,2828,1009,950,2215,1022,1378,291,1179,2333,1468
21/10/16,1167,427,358,932,363,496,167,543,1235,632
22/10/16,496,192,159,324,216,202,42,264,719,291
23/10/16,927,388,233,701,440,337,68,425,1185,523
24/10/16,2961,689,1117,2590,1280,1565,406,1232,2508,1595
25/10/16,3108,0,1128,2685,1316,1568,404,1366,2706,1587
26/10/16,3245,0,1108,2585,1293,1576,392,1365,2587,1573
27/10/16,2369,0,859,2102,953,1223,269,1093,2282,1239
28/10/16,1672,155,483,1571,570,705,208,746,1732,872
29/10/16,661,227,153,509,247,266,54,370,966,384
30/10/16,1103,477,262,820,703,385,69,531,1313,630
31/10/16,2782,1177,931,2439,1145,1354,331,1059,2374,1511
01/11/16,3158,1185,984,2497,1139,1349,332,1443,2454,1616
02/11/16,3825,1465,1243,2957,1530,1753,420,1392,2941,1948
03/11/16,2163,712,670,1919,748,1024,219,810,1876,1127
04/11/16,2616,965,766,2186,933,1155,341,1036,2369,1375
05/11/16,1201,424,291,841,543,399,77,649,1489,658
06/11/16,1349,426,352,845,851,462,91,605,1467,717
07/11/16,3096,1256,998,2654,1168,1514,333,1277,2476,1642
08/11/16,3474,1453,1219,2900,1561,1696,398,1499,2861,1896
09/11/16,2903,1240,923,2465,1023,1333,291,1249,2630,1562
10/11/16,2838,1128,924,2463,1002,1319,316,1268,2587,1539
11/11/16,2183,901,669,1803,747,972,258,1022,2221,1198
12/11/16,1057,337,255,793,392,340,83,533,1488,587
13/11/16,1231,448,309,933,677,466,96,593,1518,697
14/11/16,2905,1227,1019,2578,1222,1361,358,726,2554,1550
15/11/16,3148,1257,1153,2642,1129,1542,363,902,2578,1635
16/11/16,2023,852,651,1789,725,902,264,946,1882,1115
17/11/16,2376,1082,876,2202,1012,1160,277,1365,2209,1396
18/11/16,1984,1029,806,1951,948,1077,342,1025,2135,1256
19/11/16,1166,586,346,890,760,419,120,674,1428,710
20/11/16,303,129,113,255,135,134,27,230,603,215
21/11/16,400,158,107,313,146,234,73,93,305,204
22/11/16,657,260,130,467,48,226,96,137,604,292
23/11/16,909,352,174,697,57,487,137,390,846,450
24/11/16,789,315,193,606,85,524,116,360,712,412
25/11/16,776,293,188,601,63,502,95,351,770,405
26/11/16,361,154,88,275,182,445,46,235,562,261
27/11/16,480,213,144,363,228,655,47,266,652,339
28/11/16,1291,593,475,1243,523,1085,176,572,1261,803
29/11/16,798,294,290,683,237,527,119,376,789,457
30/11/16,1177,463,338,931,372,1121,120,568,1119,690
01/12/16,975,350,251,872,279,401,131,517,1018,533
02/12/16,993,441,262,934,348,651,139,532,1089,599
03/12/16,579,205,106,364,189,583,47,267,668,335
04/12/16,646,237,139,377,289,329,54,267,678,336
05/12/16,546,238,157,385,55,224,89,151,416,252
06/12/16,693,233,134,464,62,254,81,184,622,303
07/12/16,660,236,173,407,36,254,95,282,593,304
08/12/16,836,308,203,541,64,390,114,364,814,404
09/12/16,546,168,83,286,45,220,79,234,416,231
10/12/16,275,85,18,142,14,69,31,135,387,129
11/12/16,238,97,28,125,55,71,26,85,312,116
12/12/16,353,105,59,196,19,115,36,12,429,148
13/12/16,561,166,95,267,44,225,68,9,434,208
14/12/16,559,175,132,268,13,201,69,56,309,198
15/12/16,443,156,88,196,17,153,46,38,321,162
16/12/16,271,116,66,138,24,123,48,33,315,126
17/12/16,127,42,8,45,3,40,11,9,198,54
18/12/16,93,47,22,24,16,29,12,6,248,56
19/12/16,384,97,88,169,99,107,46,1,222,135
20/12/16,460,146,93,227,6,143,72,17,304,164
21/12/16,461,156,127,266,114,186,60,36,433,205
22/12/16,427,113,79,204,0,167,67,37,348,161
23/12/16,274,122,56,154,0,128,33,61,320,128
24/12/16,78,30,13,30,0,22,7,13,95,32
25/12/16,44,22,3,11,0,11,9,9,63,20
26/12/16,53,37,11,4,0,21,7,9,73,24
27/12/16,137,57,26,33,0,59,12,5,136,52
28/12/16,181,91,44,68,0,85,24,16,171,76
29/12/16,120,46,18,41,0,53,13,6,208,57
30/12/16,120,53,29,53,10,55,15,0,218,62
31/12/16,52,23,11,12,0,16,4,17,102,27
